City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
369,kirakira,-10.4544,161.9205,84.58,79,100,10.92,SB,1716857369
370,port moresby,-9.4431,147.1797,85.42,70,20,5.75,PG,1716857370
371,lompoc,34.6391,-120.4579,69.78,78,100,12.66,US,1716857167
372,yaren,-0.5472,166.916,83.8,76,99,12.26,NR,1716857372
373,vakarai,55.6035,23.8213,59.52,71,100,4.45,LT,1716857374
374,red hill,33.9996,-79.2581,84.38,27,99,10.51,US,1716857375
375,solnechnyy,50.7214,136.6319,39.04,94,100,8.34,RU,1716857377
376,kurumkan,54.3,110.3,64.13,33,100,4.0,RU,1716857378
377,keflavik,64.0049,-22.5624,48.11,93,100,3.44,IS,1716857379
378,talara,-4.5772,-81.2719,66.96,88,0,13.47,PE,1716857380
379,angaur state,6.906,134.13,84.38,73,22,12.75,PW,1716857381
380,loukhi,66.0764,33.0381,45.86,91,0,4.85,RU,1716857382
381,ust'-kut,56.7938,105.7672,50.43,74,100,11.99,RU,1716857383
382,bentiu,9.2333,29.8333,82.98,52,93,4.25,SS,1716857385
383,linz,48.3064,14.2861,63.03,79,34,16.11,AT,1716857184
384,allensbach,47.7154,9.0715,55.69,88,100,3.04,DE,1716857387
385,laramie,41.3114,-105.5911,66.58,23,100,13.8,US,1716857300
386,corumba,-19.0092,-57.6533,50.34,77,1,3.29,BR,1716857160
387,dylym,43.071,46.6345,52.57,77,100,5.55,RU,1716857390
388,timbuktu,16.7735,-3.0074,97.99,12,47,2.26,ML,1716857391
389,kegen,43.0197,79.2203,44.67,56,9,4.32,KZ,1716857392
390,ankazoabo,-22.2833,44.5167,58.35,83,0,7.81,MG,1716857394
391,guiuan,11.0333,125.7247,84.61,79,74,15.75,PH,1716857395
392,uzgen,40.7699,73.3007,62.89,66,99,5.66,KG,1716857396
393,san patricio,28.017,-97.5169,88.52,76,100,13.53,US,1716857397
394,harper,4.375,-7.7169,79.23,78,47,5.7,LR,1716857398
395,hola,51.5377,23.1902,50.18,76,100,6.31,PL,1716857399
396,montepuez,-13.1256,38.9997,60.73,83,13,7.7,MZ,1716857401
397,solleftea,63.1667,17.2667,53.46,94,84,4.5,SE,1716857402
398,port lavaca,28.615,-96.6261,89.31,79,40,10.36,US,1716857280
399,kailua-kona,19.6406,-155.9956,82.36,81,75,12.66,US,1716857404
400,liperi,62.5333,29.3667,57.67,82,0,1.14,FI,1716857406
401,quellon,-43.1167,-73.6167,49.05,92,100,10.58,CL,1716857407
402,tanjung sepat,2.6579,101.5629,84.34,84,20,2.3,MY,1716857408
403,richards bay,-28.783,32.0377,62.08,91,0,4.81,ZA,1716857409
404,piti village,13.4626,144.6933,88.3,74,20,12.66,GU,1716857410
405,soio,-6.1349,12.3689,78.4,91,81,7.27,AO,1716857411
406,boende,-0.2167,20.8667,71.98,97,100,1.99,CD,1716857413
407,kruisfontein,-34.0033,24.7314,55.89,55,0,4.12,ZA,1716857414
408,gobernador virasora,-28.05,-56.0333,49.03,94,100,1.01,AR,1716857251
409,miles city,46.4083,-105.8406,70.77,30,20,13.8,US,1716857248
410,yuzhno-kurilsk,44.0306,145.8556,51.37,100,100,4.88,RU,1716857417
411,berezovo,63.9381,65.0419,28.17,62,33,18.77,RU,1716857418
412,progreso,21.2833,-89.6667,82.96,89,0,14.32,MX,1716857419
413,bonthe,7.5264,-12.505,80.08,84,69,5.55,SL,1716857420
414,brookings,44.3114,-96.7984,68.34,59,0,19.57,US,1716856609
415,dongola,19.1667,30.4833,88.5,11,0,5.73,SD,1716857423
416,pointe-noire,-4.7761,11.8635,80.67,94,75,6.91,CG,1716857424
417,muisne,0.6,-80.0333,77.86,87,100,10.98,EC,1716857425
418,zhicheng,30.2956,111.5047,76.06,54,100,5.53,CN,1716857426
419,kirkwall,58.9848,-2.9587,50.97,100,100,0.0,GB,1716857427
420,taseyevo,57.2169,94.8978,50.34,83,17,14.0,RU,1716857429
421,tchintabaraden,15.8969,5.7985,92.23,21,0,4.99,NE,1716857430
422,torghay,49.6339,63.4981,43.54,63,3,4.52,KZ,1716857431
423,alesund,62.4723,6.1549,58.33,97,75,4.61,NO,1716857281
424,gadzhiyevo,69.2551,33.3362,36.79,77,100,9.13,RU,1716857396
425,dunedin,-45.8742,170.5036,52.81,58,100,10.63,NZ,1716857263
426,woolgoolga,-30.1106,153.2007,69.67,70,0,8.41,AU,1716857435
427,thurso,58.5927,-3.5259,52.05,92,99,6.69,GB,1716857437
